
Date: 8/14/2018 4:17:46 PM
Name: 
Description: 
Module Type: SM125
Mux Level: No Switch
HW Acquisition Rate: 1 Hz
Wavelength Tracking: 400 pm / acquistion
Normalized: True

IP Address: 10.2.117.165
      Port: 50000

IDN: sm125 0.8
Image ID: 0.0
S/N: SIA38D

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

Wavelength Start (nm): 1510.0000
Wavelength Delta (nm): 0.0050

Wvl (nm)	 CH 1 	 CH 2 	 CH 3 	 CH 4 
1510.1050	-59.5400	-50.6000	-58.5500	-47.8100
1510.1100	-59.5700	-50.5600	-58.5300	-47.8500
1510.1150	-59.6700	-50.7300	-58.6500	-47.7200
1510.1200	-59.6600	-50.6800	-58.6400	-47.8300
1510.1250	-59.5100	-50.6000	-58.4800	-47.9000
1510.1300	-59.5300	-50.5900	-58.4000	-47.9900
1510.1350	-59.5400	-50.6100	-58.4500	-48.1400
1510.1400	-59.3800	-50.5400	-58.4300	-48.2700
1510.1450	-59.4900	-50.6300	-58.4200	-48.2700
1510.1500	-59.4700	-50.6200	-58.3700	-48.2800
1510.1550	-59.5000	-50.6200	-58.3700	-48.2700
1510.1600	-59.5200	-50.6300	-58.4400	-48.2000
1510.1650	-59.4300	-50.5200	-58.3900	-48.2900
1510.1700	-59.5600	-50.6100	-58.4600	-48.2800
1510.1750	-59.6800	-50.6600	-58.5000	-48.1300
1510.1800	-59.7100	-50.7100	-58.5100	-47.9600
1510.1850	-59.6700	-50.7200	-58.4900	-48.1100
1510.1900	-59.6200	-50.5300	-58.4400	-48.0200
1510.1950	-59.6300	-50.5900	-58.4000	-47.8600
1510.2000	-59.7000	-50.6000	-58.3800	-47.7500
1510.2050	-59.7400	-50.5600	-58.3800	-47.7100
1510.2100	-59.7500	-50.5200	-58.4500	-47.6000
1510.2150	-59.8500	-50.7200	-58.5000	-47.6100
1510.2200	-59.8100	-50.7400	-58.5200	-47.5700
1510.2250	-59.8500	-50.7400	-58.4900	-47.5100
1510.2300	-59.8400	-50.6900	-58.4500	-47.5000
1510.2350	-59.6900	-50.5000	-58.4300	-47.7200
1510.2400	-59.7800	-50.6800	-58.5900	-47.7500
1510.2450	-59.7800	-50.6100	-58.5400	-47.7100
1510.2500	-59.7200	-50.5700	-58.4400	-47.7200
1510.2550	-59.6500	-50.6000	-58.4400	-47.9300
1510.2600	-59.6300	-50.5800	-58.4300	-48.0300
1510.2650	-59.6200	-50.7200	-58.5000	-48.1400
1510.2700	-59.6200	-50.7100	-58.4900	-48.2700
1510.2750	-59.6100	-50.6400	-58.4200	-48.3800
1510.2800	-59.6000	-50.5500	-58.3600	-48.3600
1510.2850	-59.6300	-50.4800	-58.4400	-48.3500
1510.2900	-59.6300	-50.6400	-58.5800	-48.2500
1510.2950	-59.6400	-50.6300	-58.5900	-48.2600
1510.3000	-59.5800	-50.5700	-58.5100	-48.3700
1510.3050	-59.4600	-50.6000	-58.5200	-48.2700
1510.3100	-59.4700	-50.4100	-58.3200	-48.2200
1510.3150	-59.4500	-50.5000	-58.3400	-48.1000
1510.3200	-59.5000	-50.6000	-58.4000	-47.9800
1510.3250	-59.5300	-50.6000	-58.4000	-47.8900
1510.3300	-59.4400	-50.4600	-58.3400	-47.8700
1510.3350	-59.5300	-50.6000	-58.4400	-47.7700
1510.3400	-59.5600	-50.6600	-58.5400	-47.7600
1510.3450	-59.6400	-50.7000	-58.5900	-47.7700
1510.3500	-59.7300	-50.7200	-58.5500	-47.6900
1510.3550	-59.6700	-50.5500	-58.4400	-47.5300
1510.3600	-59.8200	-50.6900	-58.4400	-47.4900
1510.3650	-59.8500	-50.7000	-58.4100	-47.5300
1510.3700	-59.8100	-50.6300	-58.3500	-47.6100
1510.3750	-59.7600	-50.6100	-58.3300	-47.6500
1510.3800	-59.7300	-50.7300	-58.5800	-47.7900
1510.3850	-59.8000	-50.7000	-58.5000	-47.8500
1510.3900	-59.7700	-50.6400	-58.4300	-47.8900
1510.3950	-59.6900	-50.6200	-58.4500	-48.0100
1510.4000	-59.6200	-50.6400	-58.3800	-48.0700
1510.4050	-59.5400	-50.4400	-58.3400	-48.1300
1510.4100	-59.6000	-50.5800	-58.4800	-48.1600
1510.4150	-59.6100	-50.7200	-58.5600	-48.2000
1510.4200	-59.5700	-50.7300	-58.4500	-48.2500
1510.4250	-59.5300	-50.6200	-58.3800	-48.3100
1510.4300	-59.5400	-50.5800	-58.3500	-48.2100
1510.4350	-59.5600	-50.5800	-58.4000	-48.1800
1510.4400	-59.6100	-50.6000	-58.4700	-48.2100
1510.4450	-59.6700	-50.6400	-58.4300	-48.1300
1510.4500	-59.6500	-50.7100	-58.4200	-48.1200
1510.4550	-59.6400	-50.6000	-58.3400	-48.0400
1510.4600	-59.5500	-50.5200	-58.2900	-47.9500
1510.4650	-59.5500	-50.5600	-58.3300	-47.8500
1510.4700	-59.7400	-50.7300	-58.4800	-47.6100
1510.4750	-59.6900	-50.6100	-58.5000	-47.6400
1510.4800	-59.5800	-50.5500	-58.5000	-47.6400
1510.4850	-59.6000	-50.6200	-58.5300	-47.6200
1510.4900	-59.6400	-50.7100	-58.5900	-47.6300
1510.4950	-59.5000	-50.5600	-58.4000	-47.5800
1510.5000	-59.5000	-50.5400	-58.3900	-47.5900
1510.5050	-59.5400	-50.5000	-58.3900	-47.6100
1510.5100	-59.6300	-50.4800	-58.3800	-47.6300
1510.5150	-59.7100	-50.5300	-58.3700	-47.6400
1510.5200	-59.6700	-50.5700	-58.4800	-47.8300
1510.5250	-59.7900	-50.6400	-58.5400	-47.9200
1510.5300	-59.8200	-50.6000	-58.5200	-47.9800
1510.5350	-59.8000	-50.5300	-58.4400	-48.0500
1510.5400	-59.7800	-50.5700	-58.3400	-47.9900
1510.5450	-59.8500	-50.6900	-58.5000	-48.1000
1510.5500	-59.8300	-50.5800	-58.4800	-48.2400
1510.5550	-59.8400	-50.5900	-58.4400	-48.3400
1510.5600	-59.8000	-50.7100	-58.5000	-48.3200
1510.5650	-59.6400	-50.7100	-58.5500	-48.3900
1510.5700	-59.6800	-50.6200	-58.3900	-48.3600
1510.5750	-59.7300	-50.6500	-58.3900	-48.2500
1510.5800	-59.7700	-50.6600	-58.4500	-48.1000
1510.5850	-59.7800	-50.6100	-58.4200	-47.9900
1510.5900	-59.7200	-50.6100	-58.4300	-47.8600
1510.5950	-59.7000	-50.7100	-58.3600	-47.8300
1510.6000	-59.6800	-50.6600	-58.3100	-47.8000
1510.6050	-59.6300	-50.5800	-58.2800	-47.7300
1510.6100	-59.5700	-50.6200	-58.2500	-47.6600
1510.6150	-59.5900	-50.6100	-58.4100	-47.6700
1510.6200	-59.6000	-50.6400	-58.3700	-47.5600
1510.6250	-59.5500	-50.4800	-58.2800	-47.5000
1510.6300	-59.5100	-50.3500	-58.2600	-47.6200
1510.6350	-59.5900	-50.7300	-58.4900	-47.5500
1510.6400	-59.6400	-50.6600	-58.5000	-47.6700
1510.6450	-59.6300	-50.6600	-58.4500	-47.6700
1510.6500	-59.6700	-50.6800	-58.4200	-47.6400
1510.6550	-59.7400	-50.6800	-58.4500	-47.8500
1510.6600	-59.6900	-50.6200	-58.4600	-47.8200
1510.6650	-59.6900	-50.5300	-58.3700	-47.9300
1510.6700	-59.6700	-50.5800	-58.3900	-48.0400
1510.6750	-59.6700	-50.6400	-58.4500	-48.1400
1510.6800	-59.6800	-50.5800	-58.3200	-48.2700
1510.6850	-59.7200	-50.6500	-58.5100	-48.2900
1510.6900	-59.7900	-50.6800	-58.5500	-48.2800
1510.6950	-59.8200	-50.6800	-58.5800	-48.2900
1510.7000	-59.8000	-50.6600	-58.6200	-48.3000
1510.7050	-59.7400	-50.6600	-58.5200	-48.1900
1510.7100	-59.8700	-50.6300	-58.5000	-48.1700
1510.7150	-59.8900	-50.6500	-58.4800	-48.0600
1510.7200	-59.8700	-50.6400	-58.4700	-47.9500
1510.7250	-59.8500	-50.6100	-58.4800	-48.0000
1510.7300	-59.8800	-50.6300	-58.5100	-47.8300
1510.7350	-59.8800	-50.7000	-58.4200	-47.7300
1510.7400	-59.8000	-50.7100	-58.4600	-47.6600
1510.7450	-59.7200	-50.6200	-58.4900	-47.6000
1510.7500	-59.6700	-50.4800	-58.3100	-47.5700
1510.7550	-59.6000	-50.5700	-58.5500	-47.5600
1510.7600	-59.6200	-50.5400	-58.4700	-47.5200
1510.7650	-59.5800	-50.5400	-58.4400	-47.5300
1510.7700	-59.5500	-50.6200	-58.5100	-47.6100
1510.7750	-59.5800	-50.7800	-58.4300	-47.7000
1510.7800	-59.6600	-50.6400	-58.4200	-47.7400
1510.7850	-59.6000	-50.6500	-58.4500	-47.7900
1510.7900	-59.5500	-50.6000	-58.4200	-47.8600
1510.7950	-59.5700	-50.5000	-58.3000	-47.9300
1510.8000	-59.6700	-50.5900	-58.3900	-48.0400
1510.8050	-59.6300	-50.5500	-58.3700	-48.1600
1510.8100	-59.6800	-50.6700	-58.4400	-48.2200
1510.8150	-59.6700	-50.6800	-58.4600	-48.2600
1510.8200	-59.5800	-50.5000	-58.2400	-48.4300
1510.8250	-59.5700	-50.5600	-58.3100	-48.3700
1510.8300	-59.5900	-50.6000	-58.3200	-48.3700
1510.8350	-59.6300	-50.6600	-58.3800	-48.3400
1510.8400	-59.7000	-50.7200	-58.4700	-48.2400
1510.8450	-59.7800	-50.7300	-58.5300	-48.1700
1510.8500	-59.7300	-50.6200	-58.4900	-48.0900
1510.8550	-59.7000	-50.6200	-58.4700	-48.0400
1510.8600	-59.7100	-50.6600	-58.4400	-47.9500
1510.8650	-59.7500	-50.6900	-58.3800	-47.7800
1510.8700	-59.8100	-50.6700	-58.3600	-47.7000
1510.8750	-59.7800	-50.5900	-58.3800	-47.6800
1510.8800	-59.7900	-50.5600	-58.4800	-47.6700
1510.8850	-59.8500	-50.5700	-58.5600	-47.6400
1510.8900	-59.9100	-50.6200	-58.5300	-47.4800
1510.8950	-59.8300	-50.6200	-58.4700	-47.5600
1510.9000	-59.7900	-50.6000	-58.5400	-47.6400
1510.9050	-59.7600	-50.7000	-58.5800	-47.6700
1510.9100	-59.7300	-50.7600	-58.5500	-47.6600
1510.9150	-59.6800	-50.6000	-58.4300	-47.8200
1510.9200	-59.5400	-50.5500	-58.3300	-47.8400
1510.9250	-59.4000	-50.5100	-58.2800	-47.9900
1510.9300	-59.4200	-50.4800	-58.3000	-48.0800
1510.9350	-59.4800	-50.5100	-58.4200	-47.9600
1510.9400	-59.4600	-50.7000	-58.6000	-48.1400
1510.9450	-59.4900	-50.6300	-58.4800	-48.2800
1510.9500	-59.5000	-50.6000	-58.4100	-48.3600
1510.9550	-59.4900	-50.5300	-58.3300	-48.4100
1510.9600	-59.4500	-50.4500	-58.2300	-48.5000
1510.9650	-59.4500	-50.6400	-58.4700	-48.3600
1510.9700	-59.6100	-50.6400	-58.5400	-48.1700
1510.9750	-59.6600	-50.6600	-58.4800	-48.1000
1510.9800	-59.6500	-50.6700	-58.3700	-48.1100
1510.9850	-59.6300	-50.5700	-58.3300	-47.8600
1510.9900	-59.6000	-50.4700	-58.1900	-47.9300
1510.9950	-59.6500	-50.5500	-58.3300	-47.9200
1511.0000	-59.7000	-50.5900	-58.4400	-47.8300
1511.0050	-59.7000	-50.5600	-58.4100	-47.6900
1511.0100	-59.6400	-50.4900	-58.3300	-47.6600
1511.0150	-59.7100	-50.5300	-58.3600	-47.6600
1511.0200	-59.7800	-50.6300	-58.4500	-47.5500
1511.0250	-59.8000	-50.6800	-58.5400	-47.4800
1511.0300	-59.7700	-50.6500	-58.5700	-47.7000
1511.0350	-59.7000	-50.5500	-58.3400	-47.5800
1511.0400	-59.7200	-50.5700	-58.3700	-47.7100
1511.0450	-59.7000	-50.5900	-58.3600	-47.7800
1511.0500	-59.6800	-50.6100	-58.3500	-47.7600
1511.0550	-59.6900	-50.6000	-58.4300	-47.8700
1511.0600	-59.7200	-50.5900	-58.3900	-47.9500
1511.0650	-59.7100	-50.5700	-58.4000	-48.1000
1511.0700	-59.6800	-50.5700	-58.3600	-48.1400
1511.0750	-59.7000	-50.5900	-58.2800	-48.0000
1511.0800	-59.7900	-50.6700	-58.2600	-48.0300
1511.0850	-59.6400	-50.5600	-58.2600	-48.2700
1511.0900	-59.5800	-50.6400	-58.3800	-48.2900
1511.0950	-59.5900	-50.6400	-58.4300	-48.1900
1511.1000	-59.5900	-50.5500	-58.3500	-48.1600
1511.1050	-59.4700	-50.5500	-58.2900	-48.0800
1511.1100	-59.3600	-50.4200	-58.1500	-48.1400
1511.1150	-59.3900	-50.4600	-58.2300	-48.1200
1511.1200	-59.4100	-50.5300	-58.4300	-48.0400
1511.1250	-59.3900	-50.5800	-58.5700	-48.1000
1511.1300	-59.3900	-50.6500	-58.4900	-47.9900
1511.1350	-59.4400	-50.6700	-58.5100	-47.8600
1511.1400	-59.3600	-50.6800	-58.5100	-47.7700
1511.1450	-59.2200	-50.6600	-58.4800	-47.7200
1511.1500	-59.0400	-50.6000	-58.5100	-47.5600
1511.1550	-58.6900	-50.5900	-58.6500	-47.7100
1511.1600	-58.3400	-50.5900	-58.5600	-47.6700
1511.1650	-58.0200	-50.6200	-58.4800	-47.5600
1511.1700	-57.8100	-50.6400	-58.5000	-47.5600
1511.1750	-57.7600	-50.4700	-58.4100	-47.6300
1511.1800	-57.9300	-50.5500	-58.5000	-47.5300
1511.1850	-58.2600	-50.5800	-58.4900	-47.5600
1511.1900	-58.4900	-50.5700	-58.4100	-47.7200
1511.1950	-58.5200	-50.5400	-58.3300	-47.7800
1511.2000	-58.2500	-50.5400	-58.4600	-47.8800
1511.2050	-57.8400	-50.5700	-58.5000	-47.9400
1511.2100	-57.7400	-50.7500	-58.6300	-47.9800
1511.2150	-57.7800	-50.7800	-58.7100	-48.0800
1511.2200	-57.8800	-50.4200	-58.4700	-48.3500
1511.2250	-58.2300	-50.5300	-58.4600	-48.1800
1511.2300	-58.4200	-50.4600	-58.3600	-48.2400
1511.2350	-58.7000	-50.5200	-58.3800	-48.3100
1511.2400	-58.9500	-50.6100	-58.5100	-48.1700
1511.2450	-59.0000	-50.4200	-58.3500	-48.2200
1511.2500	-59.0900	-50.5800	-58.4500	-48.1500
1511.2550	-59.1800	-50.6600	-58.5400	-48.0900
1511.2600	-59.1600	-50.6300	-58.5800	-48.0900
1511.2650	-59.1500	-50.5500	-58.5700	-48.1800
1511.2700	-59.4100	-50.6100	-58.5400	-47.6800
1511.2750	-59.3500	-50.6800	-58.6200	-47.6300
1511.2800	-59.4500	-50.7100	-58.6000	-47.6000
1511.2850	-59.5600	-50.6900	-58.5100	-47.4800
1511.2900	-59.6400	-50.6500	-58.4800	-47.4900
1511.2950	-59.7300	-50.8300	-58.5800	-47.4500
1511.3000	-59.6900	-50.6800	-58.5800	-47.5300
1511.3050	-59.6800	-50.5900	-58.5400	-47.6000
1511.3100	-59.7300	-50.5500	-58.4800	-47.5400
1511.3150	-59.8400	-50.4500	-58.3800	-47.5100
1511.3200	-59.8300	-50.5300	-58.3200	-47.5900
1511.3250	-59.8000	-50.5900	-58.4200	-47.8000
1511.3300	-59.8000	-50.6000	-58.4700	-47.9900
1511.3350	-59.8500	-50.5700	-58.3600	-48.0200
1511.3400	-59.9400	-50.6800	-58.3500	-47.9500
1511.3450	-59.9100	-50.6500	-58.4600	-48.1500
1511.3500	-59.8200	-50.5800	-58.4700	-48.2200
1511.3550	-59.7500	-50.5500	-58.4400	-48.1600
1511.3600	-59.7700	-50.6100	-58.5100	-48.3700
1511.3650	-59.9300	-50.8200	-58.5600	-48.2400
1511.3700	-59.8000	-50.7100	-58.5000	-48.2800
1511.3750	-59.7300	-50.6200	-58.4000	-48.3500
1511.3800	-59.7500	-50.5900	-58.3000	-48.3000
1511.3850	-59.8300	-50.5600	-58.2300	-48.0900
1511.3900	-59.7100	-50.4600	-58.2500	-48.0300
1511.3950	-59.7100	-50.4100	-58.2200	-47.9500
1511.4000	-59.7100	-50.4600	-58.2200	-47.8700
1511.4050	-59.7400	-50.5500	-58.2900	-47.8000
1511.4100	-59.8400	-50.4800	-58.1900	-47.6900
1511.4150	-59.7700	-50.6200	-58.4100	-47.6400
1511.4200	-59.7500	-50.5000	-58.2800	-47.6100
1511.4250	-59.7100	-50.3900	-58.0800	-47.5800
1511.4300	-59.6800	-50.4700	-58.2400	-47.4800
1511.4350	-59.8400	-50.6000	-58.3500	-47.4300
1511.4400	-59.7100	-50.5000	-58.2700	-47.4800
1511.4450	-59.5600	-50.4700	-58.2400	-47.6300
1511.4500	-59.5300	-50.5200	-58.2800	-47.8000
1511.4550	-59.6500	-50.6100	-58.2900	-47.6700
1511.4600	-59.6200	-50.6500	-58.3200	-47.8800
1511.4650	-59.6100	-50.5800	-58.3100	-47.9700
1511.4700	-59.6600	-50.5400	-58.3200	-47.9600
1511.4750	-59.7600	-50.5600	-58.3700	-47.9500
1511.4800	-59.8200	-50.6000	-58.4000	-48.1100
1511.4850	-59.7400	-50.4700	-58.2600	-48.2200
1511.4900	-59.8600	-50.5300	-58.2800	-48.2500
1511.4950	-59.8900	-50.6800	-58.4100	-48.3000
1511.5000	-59.8400	-50.7700	-58.4800	-48.4900
1511.5050	-59.8800	-50.5200	-58.3000	-48.2200
1511.5100	-59.9200	-50.5800	-58.3300	-48.0900
1511.5150	-59.9400	-50.5900	-58.3700	-48.0000
1511.5200	-59.9100	-50.5400	-58.3500	-47.9000
1511.5250	-59.8200	-50.4800	-58.2300	-47.8300
1511.5300	-59.7500	-50.5800	-58.2500	-47.9600
1511.5350	-59.7500	-50.6900	-58.4100	-47.9100
1511.5400	-59.7600	-50.6300	-58.4500	-47.7300
1511.5450	-59.7300	-50.4600	-58.3400	-47.5800
1511.5500	-59.6300	-50.3800	-58.3800	-47.7200
1511.5550	-59.6800	-50.4500	-58.3200	-47.6300
1511.5600	-59.7100	-50.5100	-58.3300	-47.5700
1511.5650	-59.7400	-50.5700	-58.3300	-47.5500
1511.5700	-59.7500	-50.6000	-58.2700	-47.5000
1511.5750	-59.6900	-50.5400	-58.1600	-47.6000
1511.5800	-59.7600	-50.4600	-58.2300	-47.5900
1511.5850	-59.7600	-50.4000	-58.2800	-47.6600
1511.5900	-59.7600	-50.4400	-58.3000	-47.8400
1511.5950	-59.7900	-50.6100	-58.3600	-47.9200
1511.6000	-59.7900	-50.5900	-58.3100	-48.0400
1511.6050	-59.7600	-50.5500	-58.3700	-48.1700
1511.6100	-59.7400	-50.5400	-58.4000	-48.1900
1511.6150	-59.7500	-50.5600	-58.4000	-48.0600
1511.6200	-59.8100	-50.5700	-58.5500	-48.1900
1511.6250	-59.7500	-50.6000	-58.4700	-48.1900
1511.6300	-59.7900	-50.5600	-58.3300	-48.2100
1511.6350	-59.8900	-50.6400	-58.3500	-48.2100
1511.6400	-59.9200	-50.7600	-58.5500	-48.1100
1511.6450	-59.7300	-50.4300	-58.2700	-48.1600
1511.6500	-59.7400	-50.4200	-58.2200	-48.0500
1511.6550	-59.8100	-50.4100	-58.2500	-47.9900
1511.6600	-59.8400	-50.4600	-58.3800	-48.0200
1511.6650	-59.8400	-50.5900	-58.6300	-47.9800
1511.6700	-59.9300	-50.4900	-58.4400	-47.8600
1511.6750	-59.8900	-50.5600	-58.5600	-47.7700
1511.6800	-59.8700	-50.6000	-58.5600	-47.7100
1511.6850	-59.8600	-50.6000	-58.4500	-47.6700
1511.6900	-59.8300	-50.6400	-58.6400	-47.5900
1511.6950	-59.9200	-50.6000	-58.3800	-47.5500
1511.7000	-59.8500	-50.4800	-58.3600	-47.5200
1511.7050	-59.8100	-50.4600	-58.3900	-47.5300
1511.7100	-59.8600	-50.5700	-58.3500	-47.6500
1511.7150	-59.9800	-50.6400	-58.4900	-47.6700
1511.7200	-59.8700	-50.5500	-58.3600	-47.7500
1511.7250	-59.8600	-50.4600	-58.2500	-47.8100
1511.7300	-59.9200	-50.4500	-58.2000	-47.8500
1511.7350	-59.9800	-50.5200	-58.2200	-47.8600
1511.7400	-59.9000	-50.5400	-58.2700	-47.9800
1511.7450	-59.8700	-50.4800	-58.2100	-47.9300
1511.7500	-59.8300	-50.4400	-58.2600	-47.9600
1511.7550	-59.8000	-50.4800	-58.4000	-48.1100
1511.7600	-59.7900	-50.6000	-58.4600	-48.0700
1511.7650	-59.7400	-50.4900	-58.3200	-48.2400
1511.7700	-59.7400	-50.5000	-58.3300	-48.2200
1511.7750	-59.6800	-50.4700	-58.3400	-48.1100
1511.7800	-59.6400	-50.4200	-58.3000	-48.0800
1511.7850	-59.6900	-50.4500	-58.3800	-48.0800
1511.7900	-59.7100	-50.4700	-58.3400	-47.9900
1511.7950	-59.5700	-50.4400	-58.3300	-48.0200
1511.8000	-59.5900	-50.4900	-58.3300	-48.0700
1511.8050	-59.7100	-50.6100	-58.3200	-47.8500
1511.8100	-59.6600	-50.4400	-58.2100	-47.8400
1511.8150	-59.6900	-50.4600	-58.2600	-47.7500
1511.8200	-59.8000	-50.4600	-58.2600	-47.6900
1511.8250	-59.8600	-50.4600	-58.2500	-47.6900
1511.8300	-59.8400	-50.4700	-58.3800	-47.6100
1511.8350	-59.9900	-50.5900	-58.3500	-47.6700
1511.8400	-59.8600	-50.5100	-58.2700	-47.7300
1511.8450	-59.9000	-50.5200	-58.2700	-47.7200
1511.8500	-59.9800	-50.6000	-58.3400	-47.6300
1511.8550	-59.9600	-50.5900	-58.3300	-47.7200
1511.8600	-59.8600	-50.4900	-58.2200	-47.6800
1511.8650	-59.8800	-50.4900	-58.2900	-47.7000
1511.8700	-59.8300	-50.5200	-58.3800	-47.8100
1511.8750	-59.7400	-50.5500	-58.3500	-48.0200
1511.8800	-59.7600	-50.5800	-58.3100	-48.0300
1511.8850	-59.7300	-50.5700	-58.3000	-48.0700
1511.8900	-59.7700	-50.5100	-58.2500	-48.0800
1511.8950	-59.7800	-50.5000	-58.2300	-48.0900
1511.9000	-59.7400	-50.6000	-58.3200	-48.1800
1511.9050	-59.7500	-50.6500	-58.3700	-48.2900
1511.9100	-59.7000	-50.6800	-58.4200	-48.3200
1511.9150	-59.6900	-50.6100	-58.4400	-48.3000
1511.9200	-59.6900	-50.5000	-58.3600	-48.2300
1511.9250	-59.6900	-50.4200	-58.1200	-48.1700
1511.9300	-59.7700	-50.4100	-58.1200	-48.1100
1511.9350	-59.7800	-50.4600	-58.2600	-48.0000
1511.9400	-59.7700	-50.4600	-58.3100	-47.9200
1511.9450	-59.7700	-50.4500	-58.2200	-47.9100
1511.9500	-59.7900	-50.5900	-58.3900	-47.7500
1511.9550	-59.6800	-50.6200	-58.2900	-47.7000
1511.9600	-59.6700	-50.5700	-58.2900	-47.6200
1511.9650	-59.6900	-50.4900	-58.2900	-47.5200
1511.9700	-59.7000	-50.4300	-58.1800	-47.4500
1511.9750	-59.7200	-50.4500	-58.3400	-47.5800
1511.9800	-59.7400	-50.5300	-58.3300	-47.5700
1511.9850	-59.7900	-50.6100	-58.2800	-47.6200
1511.9900	-59.8100	-50.6200	-58.2400	-47.7300
1511.9950	-59.7800	-50.5300	-58.1900	-47.6300
1512.0000	-59.9100	-50.5300	-58.2800	-47.7100
1512.0050	-59.9100	-50.4700	-58.3500	-47.8200
1512.0100	-59.9700	-50.4500	-58.3300	-47.9200
1512.0150	-60.0300	-50.4900	-58.2600	-47.9700
1512.0200	-60.0600	-50.5900	-58.3100	-48.0900
1512.0250	-60.1300	-50.7400	-58.3700	-48.2000
1512.0300	-60.0200	-50.6300	-58.2800	-48.2600
1512.0350	-59.9900	-50.5000	-58.1400	-48.2700
1512.0400	-60.0200	-50.4600	-58.0600	-48.2200
1512.0450	-59.9800	-50.4500	-58.1400	-48.2500
1512.0500	-59.7900	-50.3800	-58.1600	-48.2500
1512.0550	-59.7500	-50.3600	-58.1400	-48.2200
1512.0600	-59.7500	-50.4400	-58.1500	-48.1400
1512.0650	-59.7600	-50.6000	-58.2400	-48.0000
1512.0700	-59.8100	-50.6400	-58.3300	-48.0000
1512.0750	-59.7800	-50.6300	-58.3600	-47.8800
1512.0800	-59.8000	-50.6000	-58.3400	-47.7400
1512.0850	-59.7900	-50.5500	-58.3000	-47.6800
1512.0900	-59.6900	-50.5000	-58.3400	-47.5700
1512.0950	-59.7600	-50.5200	-58.3400	-47.4500
1512.1000	-59.7000	-50.5500	-58.3000	-47.4100
1512.1050	-59.8200	-50.6700	-58.3200	-47.4100
